customer_id,name,email,total_orders,total_spent,last_purchase_date,preferred_channel,loyalty_tier,engagement_score
1,"Brian Yang",johnsonjoshua@example.org,12,9436.62,2025-05-07,email,Inactive,62.63
2,"Kathy Johnson",garzaanthony@example.org,14,10406.60,2025-05-18,email,Inactive,61.15
3,"Heather Cooper",eric51@example.org,13,10374.62,2025-05-18,email,Inactive,66.16
4,"Mr. Juan Calderon",lindsay78@example.org,10,7138.90,2025-04-24,sms,Inactive,61.19
5,"Taylor Wong",francisco53@example.net,11,8361.05,2025-04-02,whatsapp,Inactive,67.45
6,"Emily Rios",richard13@example.net,13,9772.89,2025-02-16,email,Inactive,66.69
7,"Christian Moore",williamdavis@example.org,11,7918.47,2025-04-01,sms,Inactive,61.0
8,"Sherri Baker",cartereric@example.org,10,7611.22,2025-04-05,whatsapp,Inactive,65.69
9,"David Bradley",rodriguezmichael@example.com,14,10540.68,2025-04-30,email,Inactive,67.13
10,"Michelle Ross",ibrandt@example.net,13,10205.27,2025-04-21,whatsapp,Inactive,71.27
11,"Scott Jones",zimmermanbrian@example.org,13,9513.00,2025-05-19,whatsapp,Inactive,68.1
12,"Timothy Duncan",joshuawashington@example.net,13,10353.84,2025-05-19,sms,Inactive,64.21
13,"Cheryl West",zchandler@example.org,17,13496.55,2025-05-14,sms,Inactive,65.77
14,"April Myers",zolson@example.org,11,8277.95,2025-03-31,whatsapp,Inactive,62.69
15,"Tonya Miller",williamsthomas@example.net,13,9779.91,2025-04-07,sms,Inactive,65.02
16,"Debbie Santiago",ksandoval@example.net,11,8483.18,2025-05-05,email,Inactive,59.12
17,"Brooke Bass",david51@example.org,12,9326.81,2025-05-18,email,Inactive,61.85
18,"Deborah Freeman",cassandra53@example.net,10,7366.33,2025-05-14,email,Inactive,61.59
19,"Michael Hernandez",hhoffman@example.org,12,8850.91,2025-04-03,email,Inactive,60.68
20,"Stephen Russell",jason31@example.com,12,9079.91,2025-05-20,email,Inactive,65.94
21,"Tamara Bailey",ebrennan@example.org,13,9661.86,2025-03-02,email,Inactive,63.86
